DATE: 2016/03/08 09:43:17GET http://example.com/ HTTP/1.1
DATE: 2016/03/08 09:43:27POST http://vassg142.ocsp.omniroot.com/ HTTP/1.1
DATE: 2016/03/08 09:43:40GET http://google.com/ HTTP/1.1
DATE: 2016/03/08 09:43:41GET http://www.google.com/ HTTP/1.1
DATE: 2016/03/08 09:43:58POST http://vassg142.ocsp.omniroot.com/ HTTP/1.1
DATE: 2016/03/08 09:43:58POST http://vassg142.ocsp.omniroot.com/ HTTP/1.1
DATE: 2016/03/08 09:43:59POST http://vassg142.ocsp.omniroot.com/ HTTP/1.1
DATE: 2016/03/08 09:43:59DATE: 2016/03/08 09:44:26POST http://vassg142.ocsp.omniroot.com/ HTTP/1.1
DATE: 2016/03/08 09:44:27POST http://vassg142.ocsp.omniroot.com/ HTTP/1.1
DATE: 2016/03/08 09:44:33POST http://vassg142.ocsp.omniroot.com/ HTTP/1.1
DATE: 2016/03/08 09:44:43POST http://ocsp.digicert.com/ HTTP/1.1
DATE: 2016/03/08 09:44:43POST http://ocsp.digicert.com/ HTTP/1.1
2016/03/10 09:39:08 - GET http://www.cs.com/ HTTP/1.1
2016/03/10 09:39:12 - GET http://www.cs.com/ HTTP/1.1
2016/03/10 09:39:20 - GET http://www.cs.up.ac.za/ HTTP/1.1
2016/03/10 09:41:09 - GET http://toastytech.com/billagram2.gif HTTP/1.1
2016/03/10 09:41:10 - GET http://toastytech.com/billagram2.gif HTTP/1.1
2016/03/10 09:41:11 - GET http://www.toastytech.com/billagram2.gif HTTP/1.1
2016/03/10 09:41:13 - GET http://www.toastytech.com/billagram2.gif HTTP/1.1
2016/03/10 09:41:24 - GET http://toastytech.com/graphics/back.gif HTTP/1.1
2016/03/10 09:41:25 - GET http://toastytech.com/graphics/back.gif HTTP/1.1
2016/03/10 09:41:54 - GET http://toastytech.com/billagram2.gif HTTP/1.1
2016/03/10 09:41:55 - GET http://www.toastytech.com/billagram2.gif HTTP/1.1
2016/03/10 09:41:56 - GET http://www.toastytech.com/billagram2.gif HTTP/1.1
2016/03/10 09:42:16 - GET http://toastytech.com/graphics/back.gif HTTP/1.1
2016/03/10 09:42:17 - GET http://toastytech.com/graphics/back.gif HTTP/1.1
2016/03/10 09:43:17 - GET http://toastytech.com/billagram2.gif HTTP/1.1
2016/03/10 09:43:18 - GET http://www.toastytech.com/billagram2.gif HTTP/1.1
2016/03/10 09:43:19 - GET http://www.toastytech.com/billagram2.gif HTTP/1.1
2016/03/10 09:43:28 - GET http://toastytech.com/graphics/back.gif HTTP/1.1
2016/03/10 09:43:29 - GET http://toastytech.com/graphics/back.gif HTTP/1.1
